Supplier,ProductSKU,ProductName,ItemType,ComponentSKU_ResourceCode,ComponentName_ResourceName,Quantity
Whole Herb Company,FG-LT-LB,Lavender Tea 1 Lb,Component,RM-CeylonBlackTea,Ceylon Black Tea,0.7300
Whole Herb Company,FG-LT-LB,Lavender Tea 1 Lb,FinishedProduct,FG-LT-LB,Lavender Tea 1 Lb,1.0000
Whole Herb Company,FG-MT-LB,Mango Tea 1 lb,Component,RM-BlackTea,Black Tea,0.9700
Whole Herb Company,FG-MT-LB,Mango Tea 1 lb,Component,RM-F-Mango,Mango Flavoring,0.0208
Whole Herb Company,FG-MT-LB,Mango Tea 1 lb,FinishedProduct,FG-MT-LB,Mango Tea 1 lb,1.0000
Whole Herb Company,FG-NB-LB,NW Breakfast 1 lb,Component,RM-AssamBlackTea,Assam Black Tea,0.4800
Whole Herb Company,FG-NB-LB,NW Breakfast 1 lb,Component,RM-BlackTea,Black Tea,0.2400
Whole Herb Company,FG-NB-LB,NW Breakfast 1 lb,Component,RM-CeylonBlackTea,Ceylon Black Tea,0.2400
Whole Herb Company,FG-NB-LB,NW Breakfast 1 lb,Component,RM-F-CedarTip,Cedar Tip Flavoring,0.0400
Whole Herb Company,FG-NB-LB,NW Breakfast 1 lb,FinishedProduct,FG-NB-LB,NW Breakfast 1 lb,1.0000
Whole Herb Company,FG-OSCT-LB,Orange Spice Cinnamon 1 lb,Component,RM-BlackTea,Black Tea,0.8300
Whole Herb Company,FG-OSCT-LB,Orange Spice Cinnamon 1 lb,Component,RM-F-OrangeCinnamon,Orange Cinnamon Flavoring,0.0602
Whole Herb Company,FG-OSCT-LB,Orange Spice Cinnamon 1 lb,FinishedProduct,FG-OSCT-LB,Orange Spice Cinnamon 1 lb,1.0000
Whole Herb Company,FG-RC-LB,Rooibos Chai 1 Lb,Component,RM-RooibosTea,Rooibos Tea,0.2402
Whole Herb Company,FG-RC-LB,Rooibos Chai 1 Lb,Component,RM-F-Cardamom,Cardamom Flavoring,0.0076
Whole Herb Company,FG-RC-LB,Rooibos Chai 1 Lb,FinishedProduct,FG-RC-LB,Rooibos Chai 1 Lb,1.0000
Whole Herb Company,FG-RKT-LB,Rice Krispy 1 Lb,Component,RM-F-Mashmallow,Marshmallow Flavoring,0.0420
Whole Herb Company,FG-RKT-LB,Rice Krispy 1 Lb,FinishedProduct,FG-RKT-LB,Rice Krispy 1 Lb,1.0000
Whole Herb Company,FG-RKT-LB,Rice Krispy 1 Lb,Component,RM-GenmaichaTea,Genmaicha Tea,0.9580
Whole Herb Company,FG-SC-LB,Sleepy Chai 1 Lb,Component,RM-RooibosTea,Rooibos Tea,0.1960
Whole Herb Company,FG-SC-LB,Sleepy Chai 1 Lb,Component,RM-F-Cardamom,Cardamom Flavoring,0.0061
Whole Herb Company,FG-SC-LB,Sleepy Chai 1 Lb,FinishedProduct,FG-SC-LB,Sleepy Chai 1 Lb,1.0000
Whole Herb Company,FG-SGT-LB,Strawberry Green 1 Lb,Component,RM-GreenTeaChunMee,Green Tea (Chun Mee),0.9096
Whole Herb Company,FG-SGT-LB,Strawberry Green 1 Lb,Component,RM-F-Strawberry,Strawberry Flavoring,0.0790
Whole Herb Company,FG-SGT-LB,Strawberry Green 1 Lb,FinishedProduct,FG-SGT-LB,Strawberry Green 1 Lb,1.0000
Whole Herb Company,FG-ST-LB,Sore Throat 1 Lb,Component,RM-GreenTeaChunMee,Green Tea (Chun Mee),0.0950
Whole Herb Company,FG-ST-LB,Sore Throat 1 Lb,Component,RM-ChamomileFlower,Chamomile Flower,0.0250
Whole Herb Company,FG-ST-LB,Sore Throat 1 Lb,FinishedProduct,FG-ST-LB,Sore Throat 1 Lb,1.0000
Whole Herb Company,FG-TG-LB,Tropical Green 1 Lb,Component,RM-GreenTeaChunMee,Green Tea (Chun Mee),0.9492
Whole Herb Company,FG-TG-LB,Tropical Green 1 Lb,Component,RM-F-Pineapple,Pineapple Flavoring,0.0198
Whole Herb Company,FG-TG-LB,Tropical Green 1 Lb,Component,RM-F-Papaya,Papaya Flavoring,0.0198
Whole Herb Company,FG-TG-LB,Tropical Green 1 Lb,FinishedProduct,FG-TG-LB,Tropical Green 1 Lb,1.0000
Whole Herb Company,FG-WBH-LB,Wild Berry Hibiscus 1 Lb,Component,RM-F-WildBerry,Wild Berry Flavoring,0.0230
Whole Herb Company,FG-WBH-LB,Wild Berry Hibiscus 1 Lb,FinishedProduct,FG-WBH-LB,Wild Berry Hibiscus 1 Lb,1.0000
